participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.real_world_currency_per_point,session.config.participation_fee,prisoners_dilemma.1.player.id_in_group,prisoners_dilemma.1.player.role,prisoners_dilemma.1.player.payoff,prisoners_dilemma.1.player.decision,prisoners_dilemma.1.group.id_in_subsession,prisoners_dilemma.1.subsession.round_number
151,zzvmz49l,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:34.508640+00:00,1,,,-1,i66tivdp,,,,,0,1.0,0.00,1,,-1,C,20,1
152,tld29u1x,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:34.536744+00:00,1,,,-3,i66tivdp,,,,,0,1.0,0.00,2,,-3,D,95,1
153,d4mlem37,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:34.689919+00:00,1,,,-1,i66tivdp,,,,,0,1.0,0.00,1,,-1,C,35,1
154,lfg4a37j,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:34.714749+00:00,1,,,-3,i66tivdp,,,,,0,1.0,0.00,2,,-3,D,72,1
155,792sp912,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:34.738404+00:00,1,,,-1,i66tivdp,,,,,0,1.0,0.00,1,,-1,C,50,1
156,6hs09zaa,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:34.761299+00:00,1,,,-4,i66tivdp,,,,,0,1.0,0.00,2,,-4,C,25,1
157,f8q6r7im,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:34.787626+00:00,1,,,-4,i66tivdp,,,,,0,1.0,0.00,1,,-4,C,21,1
158,yxs5d313,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:34.811012+00:00,1,,,-3,i66tivdp,,,,,0,1.0,0.00,2,,-3,D,26,1
159,7oodqrt5,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:34.834370+00:00,1,,,0,i66tivdp,,,,,0,1.0,0.00,1,,0,D,5,1
160,kd8uprcb,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:34.858148+00:00,1,,,-3,i66tivdp,,,,,0,1.0,0.00,2,,-3,D,27,1
161,0z8wzsdu,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:34.882026+00:00,1,,,-4,i66tivdp,,,,,0,1.0,0.00,1,,-4,C,44,1
162,ikbmdi86,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:34.905826+00:00,1,,,-3,i66tivdp,,,,,0,1.0,0.00,2,,-3,D,69,1
163,ds0lk0ej,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:34.929137+00:00,1,,,-4,i66tivdp,,,,,0,1.0,0.00,1,,-4,C,13,1
164,cx5ajvux,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:34.953145+00:00,1,,,0,i66tivdp,,,,,0,1.0,0.00,2,,0,D,36,1
165,ki0excxi,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:34.976164+00:00,1,,,0,i66tivdp,,,,,0,1.0,0.00,1,,0,D,41,1
166,ajm5uiy1,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.000337+00:00,1,,,-3,i66tivdp,,,,,0,1.0,0.00,2,,-3,D,18,1
167,oaiv3z6p,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.021129+00:00,1,,,0,i66tivdp,,,,,0,1.0,0.00,1,,0,D,46,1
168,1ms4kami,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.044643+00:00,1,,,0,i66tivdp,,,,,0,1.0,0.00,2,,0,D,62,1
169,xxcl8hzv,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.070697+00:00,1,,,-3,i66tivdp,,,,,0,1.0,0.00,1,,-3,D,53,1
170,zajwyv4j,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.097482+00:00,1,,,-4,i66tivdp,,,,,0,1.0,0.00,2,,-4,C,14,1
171,o8ndhyai,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.118758+00:00,1,,,-3,i66tivdp,,,,,0,1.0,0.00,1,,-3,D,69,1
172,ed51o3y2,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.142348+00:00,1,,,-3,i66tivdp,,,,,0,1.0,0.00,2,,-3,D,54,1
173,steef3ik,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.170135+00:00,1,,,-3,i66tivdp,,,,,0,1.0,0.00,1,,-3,D,51,1
174,h5sd6cc0,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.193065+00:00,1,,,-4,i66tivdp,,,,,0,1.0,0.00,2,,-4,C,83,1
175,dpsnii91,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.216067+00:00,1,,,0,i66tivdp,,,,,0,1.0,0.00,1,,0,D,32,1
176,y1qhx789,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.243301+00:00,1,,,-1,i66tivdp,,,,,0,1.0,0.00,2,,-1,C,7,1
177,it269dgi,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.266715+00:00,1,,,-3,i66tivdp,,,,,0,1.0,0.00,1,,-3,D,45,1
178,44a85why,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.299267+00:00,1,,,-3,i66tivdp,,,,,0,1.0,0.00,2,,-3,D,38,1
179,09nbftqx,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.321613+00:00,1,,,-3,i66tivdp,,,,,0,1.0,0.00,1,,-3,D,54,1
180,p5mc3j2o,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.347389+00:00,1,,,-4,i66tivdp,,,,,0,1.0,0.00,2,,-4,C,67,1
181,vb9jhdxx,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.370085+00:00,1,,,-3,i66tivdp,,,,,0,1.0,0.00,1,,-3,D,18,1
182,ximkz8g8,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.396958+00:00,1,,,-1,i66tivdp,,,,,0,1.0,0.00,2,,-1,C,15,1
183,c49mxkvj,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.427060+00:00,1,,,0,i66tivdp,,,,,0,1.0,0.00,1,,0,D,67,1
184,khe66tv1,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.450647+00:00,1,,,-4,i66tivdp,,,,,0,1.0,0.00,2,,-4,C,52,1
185,x0n07zho,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.477656+00:00,1,,,-3,i66tivdp,,,,,0,1.0,0.00,1,,-3,D,99,1
186,bsawkkr8,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.500529+00:00,1,,,-4,i66tivdp,,,,,0,1.0,0.00,2,,-4,C,88,1
187,u50kddrw,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.520966+00:00,1,,,-3,i66tivdp,,,,,0,1.0,0.00,1,,-3,D,84,1
188,q7yjz2gj,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.549920+00:00,1,,,0,i66tivdp,,,,,0,1.0,0.00,2,,0,D,44,1
189,d1dyxlg2,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.574013+00:00,1,,,0,i66tivdp,,,,,0,1.0,0.00,1,,0,D,30,1
190,y6wzawq8,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.597532+00:00,1,,,-3,i66tivdp,,,,,0,1.0,0.00,2,,-3,D,84,1
191,cuy1duke,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.623827+00:00,1,,,0,i66tivdp,,,,,0,1.0,0.00,1,,0,D,81,1
192,xhoene2o,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.647976+00:00,1,,,0,i66tivdp,,,,,0,1.0,0.00,2,,0,D,80,1
193,rhc8ll9a,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.671564+00:00,1,,,-1,i66tivdp,,,,,0,1.0,0.00,1,,-1,C,71,1
194,ot4l3r0w,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.699278+00:00,1,,,-4,i66tivdp,,,,,0,1.0,0.00,2,,-4,C,64,1
195,tri3pkz0,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.725777+00:00,1,,,-4,i66tivdp,,,,,0,1.0,0.00,1,,-4,C,9,1
196,bcpuabaf,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.750512+00:00,1,,,-1,i66tivdp,,,,,0,1.0,0.00,2,,-1,C,12,1
197,izay042k,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.774561+00:00,1,,,-1,i66tivdp,,,,,0,1.0,0.00,1,,-1,C,96,1
198,szo4jonx,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.798707+00:00,1,,,-1,i66tivdp,,,,,0,1.0,0.00,2,,-1,C,71,1
199,64ksz2gz,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.819962+00:00,1,,,-4,i66tivdp,,,,,0,1.0,0.00,1,,-4,C,70,1
200,9ksgr8tk,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.843631+00:00,1,,,-4,i66tivdp,,,,,0,1.0,0.00,2,,-4,C,85,1
